domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,data learn,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,system activ,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,recognit system,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,model activ,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,activ recognit system,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,data activ,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,activ data learn,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,system activ data,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,activ data,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",recognit system activ,activ recognit,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",har system,collect engin activ,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",har system,data collect engin,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",har system,har system process,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",har system,recognit har,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",har system,engin activ recognit,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",har system,system process,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",har system,engin activ,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",har system,activ data,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,collect engin activ,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,data collect engin,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,har system process,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,recognit har,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,engin activ recognit,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,system process,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,engin activ,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,har system,1,0.0,2011.0,,26fb30a7-7a27-49e0-98a7-18b10c21bcfc
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,data learn,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,system activ,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,recognit system,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,model activ,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,activ recognit system,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,recognit system activ,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,data activ,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
"Cryptography and Security(84.11%) | Computational Engineering, Finance, and Science(64.74%) | Computer Vision and Pattern Recognition(63.09%)",activ data,activ data learn,1,0.0,2014.0,,8f6e90c3-632a-4e85-9a47-280abf8f1f94
