domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil system,stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil system,power system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil system,voltag load,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil system,system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil system,power system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil system,system disturb,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,energi entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,power station,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,entiti power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,sourc energi,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,energi entiti,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,system stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,voltag load,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,power system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,system disturb,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,power system oper,1,0.0,2020.0,,5665b165-a9cd-4489-9065-77164ec3dafb
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,system oper,1,0.0,2020.0,,5665b165-a9cd-4489-9065-77164ec3dafb
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system,oper power system,1,0.0,2020.0,,5665b165-a9cd-4489-9065-77164ec3dafb
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power station,entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power station,energi entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power station,entiti power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power station,sourc energi,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power station,power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power station,energi entiti,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power,energi entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power,power station,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power,entiti power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power,sourc energi,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power,power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power,energi entiti,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power system,entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power system,energi entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power system,power station,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power system,sourc energi,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power system,power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),entiti power system,energi entiti,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),sourc energi,entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),sourc energi,energi entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),sourc energi,power station,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),sourc energi,entiti power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),sourc energi,power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),sourc energi,energi entiti,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti,entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti,energi entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti,power station,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti,entiti power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti,sourc energi,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti,power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti power,entiti power,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti power,power station,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti power,entiti power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti power,sourc energi,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti power,power system,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),energi entiti power,energi entiti,1,0.0,2013.0,,faca7425-562c-45b0-a82c-fe12ddaba7dc
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),voltag load,stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),voltag load,system stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),voltag load,power system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),voltag load,system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),voltag load,power system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),voltag load,system disturb,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system disturb,stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system disturb,system stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system disturb,power system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system disturb,voltag load,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system disturb,system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system disturb,power system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system stabil,stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system stabil,system stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system stabil,power system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system stabil,voltag load,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system stabil,system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),power system stabil,system disturb,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil,stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil,system stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil,power system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil,voltag load,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil,power system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),system stabil,system disturb,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),stabil system,system stabil system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),stabil system,power system,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),stabil system,voltag load,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
Emerging Technologies(74.01%) | Systems and Control(67.05%) | Other Computer Science(66.39%),stabil system,system stabil,1,0.0,2016.0,,290d2f12-57e4-4658-a8e1-aaa932061046
