domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,platform featur spectrum,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,featur spectrum power,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,spectrum power,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,grid system commun,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,grid technolog platform,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,spectrum power system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,grid system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,featur spectrum,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,power system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,grid technolog,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,technolog platform,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,technolog platform featur,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,grid warn,1,0.0,2021.0,,7fdc9dc5-8f41-4ea8-88c3-4cfa07c30e10
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,grid warn system,1,0.0,2021.0,,7fdc9dc5-8f41-4ea8-88c3-4cfa07c30e10
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,platform featur spectrum,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,featur spectrum power,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,spectrum power,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,grid system commun,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,grid technolog platform,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,spectrum power system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,grid system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,power system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,grid technolog,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,technolog platform,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,technolog platform featur,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,platform featur,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,grid warn,1,0.0,2021.0,,7fdc9dc5-8f41-4ea8-88c3-4cfa07c30e10
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),featur spectrum,grid warn system,1,0.0,2021.0,,7fdc9dc5-8f41-4ea8-88c3-4cfa07c30e10
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system format,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
