domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,gene network grn,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,gene express data,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,network grn,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,throughput microarray gene,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,microarray gene express,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,grn role,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,network grn role,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,inform interact,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,transcript factor gene,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,factor gene,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,transcript factor,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,inform interact mirna,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,grn interact,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,interact transcript factor,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,network grn interact,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,gene creation,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,factor gene creation,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,gene network interact,1,0.0,2013.0,,17c294d8-e457-4b4e-b5b9-3776c89eae0f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,factor target gene,1,0.0,2013.0,,17c294d8-e457-4b4e-b5b9-3776c89eae0f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,interact transcript,1,0.0,2013.0,,17c294d8-e457-4b4e-b5b9-3776c89eae0f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,network interact transcript,1,0.0,2013.0,,17c294d8-e457-4b4e-b5b9-3776c89eae0f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,factor target,1,0.0,2013.0,,17c294d8-e457-4b4e-b5b9-3776c89eae0f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,target gene,1,0.0,2013.0,,17c294d8-e457-4b4e-b5b9-3776c89eae0f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,grn reconstruct,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,problem system,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,network grn reconstruct,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,microarray data problem,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,problem system biolog,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,microarray data,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,data problem,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,system biolog,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,data problem system,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,collect gene interact,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,interact interact gene,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,grn collect,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,collect gene,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,network grn collect,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,interact gene,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,grn collect gene,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,gene interact interact,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,gene tg,1,0.0,2014.0,,a1ae919a-c1f8-412f-801f-4f905c72cfe4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,factor gene tg,1,0.0,2014.0,,a1ae919a-c1f8-412f-801f-4f905c72cfe4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,relationship gene system,1,0.0,2015.0,,71abf2d3-3bc8-4c0c-974c-3a6aa4b2442d
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,organ relationship,1,0.0,2015.0,,71abf2d3-3bc8-4c0c-974c-3a6aa4b2442d
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,grn circuitri,1,0.0,2015.0,,71abf2d3-3bc8-4c0c-974c-3a6aa4b2442d
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,system gene level,1,0.0,2015.0,,71abf2d3-3bc8-4c0c-974c-3a6aa4b2442d
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,circuitri live,1,0.0,2015.0,,71abf2d3-3bc8-4c0c-974c-3a6aa4b2442d
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,network grn circuitri,1,0.0,2015.0,,71abf2d3-3bc8-4c0c-974c-3a6aa4b2442d
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network,gene system gene,1,0.0,2015.0,,71abf2d3-3bc8-4c0c-974c-3a6aa4b2442d
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,gene express data,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,network grn,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,throughput microarray gene,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,microarray gene express,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,grn role,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,network grn role,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,gene network,1,0.0,2011.0,,1fbef3bd-4469-47de-b794-a994d60ba9a2
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,timeseri gene express,1,0.0,2012.0,,604787e0-c924-4235-8c87-59835cce78d9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,engin gene network,1,0.0,2012.0,,604787e0-c924-4235-8c87-59835cce78d9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,thousand gene revers,1,0.0,2012.0,,604787e0-c924-4235-8c87-59835cce78d9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,highthroughput timeseri gene,1,0.0,2012.0,,604787e0-c924-4235-8c87-59835cce78d9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,network grn highthroughput,1,0.0,2012.0,,604787e0-c924-4235-8c87-59835cce78d9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,revers engin gene,1,0.0,2012.0,,604787e0-c924-4235-8c87-59835cce78d9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,inform interact,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,transcript factor gene,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,factor gene,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,transcript factor,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,inform interact mirna,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,grn interact,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,interact transcript factor,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,network grn interact,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,gene creation,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,factor gene creation,1,0.0,2012.0,,e300909d-0c70-41ad-85b6-f83cca83162f
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,grn reconstruct,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,problem system,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,network grn reconstruct,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,microarray data problem,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,problem system biolog,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,microarray data,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,data problem,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,system biolog,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,data problem system,1,0.0,2013.0,,b416fdf2-a417-4591-84fb-9517fbc2c7d4
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,collect gene interact,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,interact interact gene,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,grn collect,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,collect gene,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,network grn collect,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,interact gene,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
Emerging Technologies(65.54%) | Symbolic Computation(65.43%) | Other Computer Science(61.68%),gene network grn,grn collect gene,1,0.0,2013.0,,6552b4dd-f413-46c8-9ea2-8dbe2e0d40b9
