domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),compon precis micro,precis micro product,1,0.0,2015.0,,91017c85-94d0-42dc-9846-8a58206b26f3
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),compon precis micro,technolog project research,1,0.0,2015.0,,91017c85-94d0-42dc-9846-8a58206b26f3
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),compon precis micro,micro product technolog,1,0.0,2015.0,,91017c85-94d0-42dc-9846-8a58206b26f3
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),compon precis micro,process simul report,1,0.0,2015.0,,91017c85-94d0-42dc-9846-8a58206b26f3
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),compon precis micro,tool process simul,1,0.0,2015.0,,91017c85-94d0-42dc-9846-8a58206b26f3
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),compon precis micro,project research project,1,0.0,2015.0,,91017c85-94d0-42dc-9846-8a58206b26f3
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),unit research output,engin research output,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),unit research output,skip dtu research,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),unit research output,research unit research,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),unit research output,research output book,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),unit research output,research output activ,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),unit research output,report report research,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),unit research output,skip skip dtu,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),unit research output,research databas skip,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
Cryptography and Security(81.65%) | Symbolic Computation(78.58%) | Mathematical Software(66.2%),report report research,engin research output,1,0.0,2013.0,,f8bab1a3-4004-48f7-b5b6-8856a3ca00ae
