domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,network pair,1,0.0,2012.0,,de75f034-6f95-4fa2-a59b-113c34053cef
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,cognit radio,1,0.0,2012.0,,de75f034-6f95-4fa2-a59b-113c34053cef
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,radio network pair,1,0.0,2012.0,,de75f034-6f95-4fa2-a59b-113c34053cef
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,relay radio,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,network fade channel,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,capac relay,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,relay radio network,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,fade channel,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,capac relay radio,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,radio network fade,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,network fade,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
Social and Information Networks(82.71%) | Networking and Internet Architecture(79.44%) | Neural and Evolutionary Computing(75.24%),radio network,outag capac relay,1,0.0,2014.0,,fe5813cf-405e-435a-965c-a391502cb9f3
