domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),flow control mpupfc,system stabil assess,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),flow control mpupfc,mpupfc power system,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),flow control mpupfc,analysi model power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),flow control mpupfc,control mpupfc power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),flow control mpupfc,model power flow,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),flow control mpupfc,power flow control,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),flow control mpupfc,design analysi model,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),flow control mpupfc,power system stabil,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),control mpupfc power,flow control mpupfc,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),control mpupfc power,system stabil assess,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),control mpupfc power,mpupfc power system,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),control mpupfc power,analysi model power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),control mpupfc power,model power flow,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),control mpupfc power,power flow control,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),control mpupfc power,design analysi model,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),control mpupfc power,power system stabil,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,flow control mpupfc,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,system stabil assess,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,mpupfc power system,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,analysi model power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,control mpupfc power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,model power flow,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system stabil,power flow control,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
