domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron detect analysi,boron adsorpt,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron detect analysi,detect analysi,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron detect analysi,analysi boron adsorpt,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron detect analysi,adsorpt clay,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron adsorpt,detect analysi,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron adsorpt,analysi boron adsorpt,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron adsorpt,adsorpt clay,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron adsorpt,boron detect analysi,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),boron adsorpt,analysi boron,1,0.0,2020.0,,2946d036-211d-4a55-94bb-38627b818574
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),detect analysi,boron adsorpt,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),detect analysi,analysi boron adsorpt,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),detect analysi,adsorpt clay,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),detect analysi,boron detect analysi,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),adsorpt clay,boron adsorpt,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),adsorpt clay,detect analysi,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),adsorpt clay,analysi boron adsorpt,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),adsorpt clay,boron detect analysi,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),adsorpt clay,analysi boron,1,0.0,2020.0,,2946d036-211d-4a55-94bb-38627b818574
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),analysi boron adsorpt,boron adsorpt,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),analysi boron adsorpt,detect analysi,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),analysi boron adsorpt,adsorpt clay,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),analysi boron adsorpt,boron detect analysi,1,0.0,2019.0,,3be568f1-5cea-4e99-b0ce-0428791905bc
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),analysi boron adsorpt,analysi boron,1,0.0,2020.0,,2946d036-211d-4a55-94bb-38627b818574
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),analysi boron,analysi boron adsorpt,1,0.0,2020.0,,2946d036-211d-4a55-94bb-38627b818574
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),analysi boron,boron adsorpt,1,0.0,2020.0,,2946d036-211d-4a55-94bb-38627b818574
Cryptography and Security(78.49%) | Computation and Language(73.83%) | Systems and Control(71.56%),analysi boron,adsorpt clay,1,0.0,2020.0,,2946d036-211d-4a55-94bb-38627b818574
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),assist professor,associ professor,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),assist professor,colleg teacher,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),assist professor,professor assist,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),teacher happi,colleg teacher,1,0.0,2020.0,,9ae1f971-e4a6-41de-92ea-2397f5cadc9d
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),colleg teacher,teacher happi,1,0.0,2020.0,,9ae1f971-e4a6-41de-92ea-2397f5cadc9d
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),colleg teacher,associ professor,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),colleg teacher,assist professor,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),colleg teacher,professor assist,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),associ professor,colleg teacher,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),associ professor,assist professor,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),associ professor,professor assist,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),professor assist,associ professor,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),professor assist,colleg teacher,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Systems and Control(92.14%) | Digital Libraries(78.83%) | Mathematical Software(76.91%),professor assist,assist professor,1,0.0,2021.0,,263d30a5-6f35-490a-933e-e17328a1c75f
Graphics(88.57%) | Human-Computer Interaction(85.92%) | Mathematical Software(82.87%),studi depart,method studi depart,1,0.0,2019.0,,b16d35f0-7f95-4648-9f61-23407697a854
Graphics(88.57%) | Human-Computer Interaction(85.92%) | Mathematical Software(82.87%),studi depart,method studi,1,0.0,2019.0,,b16d35f0-7f95-4648-9f61-23407697a854
Graphics(88.57%) | Human-Computer Interaction(85.92%) | Mathematical Software(82.87%),method studi depart,studi depart,1,0.0,2019.0,,b16d35f0-7f95-4648-9f61-23407697a854
Graphics(88.57%) | Human-Computer Interaction(85.92%) | Mathematical Software(82.87%),method studi depart,method studi,1,0.0,2019.0,,b16d35f0-7f95-4648-9f61-23407697a854
