domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,gsm mobil telephoni,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,system authent phone,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,gsm mobil,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,mobil telephoni,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,limit rang,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,mobil telephoni system,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,phone network limit,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,phone network,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,limit rang attack,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,network limit rang,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,telephoni system authent,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,telephoni system,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,rang attack,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),network limit,authent phone network,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,gsm mobil telephoni,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,system authent phone,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,gsm mobil,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,mobil telephoni,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,mobil telephoni system,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,phone network limit,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,phone network,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,limit rang attack,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,network limit rang,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,telephoni system authent,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,network limit,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,telephoni system,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,rang attack,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),limit rang,authent phone network,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),rang attack,gsm mobil telephoni,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),rang attack,system authent phone,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),rang attack,gsm mobil,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),rang attack,mobil telephoni,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),rang attack,limit rang,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),rang attack,mobil telephoni system,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
Information Theory(87.28%) | Digital Libraries(77.91%) | Networking and Internet Architecture(69.16%),rang attack,phone network limit,1,0.0,2016.0,,9f0f6575-e95b-40a8-8520-8d8f1ab5e78d
