domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
