domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,sourc invert,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,sourc invert vsi,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,voltag sourc invert,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,voltag sourc,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,distribut network,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,network voltag,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,instal paper,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,network voltag sourc,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,distribut network voltag,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,control threephas,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,sourc invert vsi,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,invert vsi,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,voltag sourc invert,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,voltag sourc,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
