domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti,singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,pfc boost,1,0.0,2018.0,,4449c20d-6960-4ca1-8995-f02fd77f222f
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,power qualiti power,1,0.0,2018.0,,4449c20d-6960-4ca1-8995-f02fd77f222f
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,power factor,1,0.0,2018.0,,4449c20d-6960-4ca1-8995-f02fd77f222f
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,acdc pfc boost,1,0.0,2018.0,,4449c20d-6960-4ca1-8995-f02fd77f222f
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,acdc pfc,1,0.0,2018.0,,4449c20d-6960-4ca1-8995-f02fd77f222f
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,stepup applic,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,cbc convert method,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,acdc boostck,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,convert method,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,buckboost convert paper,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,buckboost convert,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,acdc buckboost convert,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),singlephas acdc,acdc buckboost,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,voltag gain,1,0.0,2017.0,,f8c9fe87-0839-4cfd-a641-f7d5f51f56f0
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,convert system,1,0.0,2017.0,,f8c9fe87-0839-4cfd-a641-f7d5f51f56f0
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,power energi,1,0.0,2017.0,,f8c9fe87-0839-4cfd-a641-f7d5f51f56f0
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,voltag gain step,1,0.0,2017.0,,f8c9fe87-0839-4cfd-a641-f7d5f51f56f0
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,step convert,1,0.0,2017.0,,f8c9fe87-0839-4cfd-a641-f7d5f51f56f0
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,step convert system,1,0.0,2017.0,,f8c9fe87-0839-4cfd-a641-f7d5f51f56f0
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),duti cycl,convert system power,1,0.0,2017.0,,f8c9fe87-0839-4cfd-a641-f7d5f51f56f0
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,convert step configur,1,0.0,2016.0,,1fddeac1-7f3e-4871-8ca4-73f9372e6f60
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,voltag gain,1,0.0,2016.0,,1fddeac1-7f3e-4871-8ca4-73f9372e6f60
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,effici voltag gain,1,0.0,2016.0,,1fddeac1-7f3e-4871-8ca4-73f9372e6f60
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,configur effici voltag,1,0.0,2016.0,,1fddeac1-7f3e-4871-8ca4-73f9372e6f60
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,input power factor,1,0.0,2016.0,,1fddeac1-7f3e-4871-8ca4-73f9372e6f60
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,voltag gain input,1,0.0,2016.0,,1fddeac1-7f3e-4871-8ca4-73f9372e6f60
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,gain input power,1,0.0,2016.0,,1fddeac1-7f3e-4871-8ca4-73f9372e6f60
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,effici voltag,1,0.0,2016.0,,1fddeac1-7f3e-4871-8ca4-73f9372e6f60
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,stepup applic,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,cbc convert method,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,acdc boostck,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,convert method,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
