domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",paper design fabric,compliant gripper,1,0.0,2020.0,,2e45f132-af8f-47b9-8d27-86e87fc21a6d
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",paper design fabric,paper design,1,0.0,2020.0,,2e45f132-af8f-47b9-8d27-86e87fc21a6d
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel,paper largerang,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel,parallel manipul,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel,compliant parallel manipul,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",paper largerang,compliant parallel,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",paper largerang,parallel manipul,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",paper largerang,compliant parallel manipul,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",paper largerang,manipul cpm,1,0.0,2013.0,,a46cd9f6-c5c1-4a30-ba89-4cdcf2857b5b
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,paper largerang,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,compliant parallel,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,compliant parallel manipul,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,motion design methodolog,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,highprecis motion design,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,motion design,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,xyz compliant,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,posit space,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,design xyz,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,paper design xyz,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,paper design,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,design xyz compliant,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,paper design distributedcompli,1,0.0,2015.0,,9d8b0810-1698-424a-9b5a-238761d2997d
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,manipul design motion,1,0.0,2016.0,,a5853ba3-54d1-45d4-8c48-fc4346c8417c
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,actuat parallel,1,0.0,2016.0,,a5853ba3-54d1-45d4-8c48-fc4346c8417c
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,actuat isol,1,0.0,2016.0,,a5853ba3-54d1-45d4-8c48-fc4346c8417c
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",parallel manipul,isol manipul design,1,0.0,2016.0,,a5853ba3-54d1-45d4-8c48-fc4346c8417c
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,paper largerang,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,compliant parallel,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,parallel manipul,1,0.0,2012.0,,85f26d2f-27d2-48c7-bed8-8f3bcd71934e
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,motion design methodolog,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,highprecis motion design,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,motion design,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,xyz compliant,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,posit space,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,design xyz,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,paper design xyz,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,paper design,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,design xyz compliant,1,0.0,2014.0,,b677eb36-d767-49eb-ae8a-40a852a8abf5
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",compliant parallel manipul,paper design distributedcompli,1,0.0,2015.0,,9d8b0810-1698-424a-9b5a-238761d2997d
"Cryptography and Security(83.69%) | Graphics(77.35%) | Computational Engineering, Finance, and Science(55.36%)",motion design,motion design methodolog,1,0.0,2012.0,,80ab3bed-2199-4dd3-84ee-5f2ff19f9915
