domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),approach power,power point,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),approach power,paper approach power,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),approach power,system cuckoo search,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),approach power,approach power point,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),approach power,system cuckoo,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,approach power,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,paper approach power,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,system cuckoo search,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,approach power point,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,system cuckoo,1,0.0,2013.0,,77cf59fe-10dd-4583-98c8-ba70310c2ac3
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,power point mppt,1,0.0,2013.0,,2d126ed2-b2d0-4b81-9f88-c5e805353850
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,point mppt,1,0.0,2013.0,,2d126ed2-b2d0-4b81-9f88-c5e805353850
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,power power,1,0.0,2013.0,,2d126ed2-b2d0-4b81-9f88-c5e805353850
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,cost power,1,0.0,2013.0,,2d126ed2-b2d0-4b81-9f88-c5e805353850
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,cost power power,1,0.0,2013.0,,2d126ed2-b2d0-4b81-9f88-c5e805353850
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,power power point,1,0.0,2013.0,,2d126ed2-b2d0-4b81-9f88-c5e805353850
Systems and Control(68.2%) | Operating Systems(61.66%) | Emerging Technologies(61.56%),power point,work power point,1,0.0,2014.0,,4257f7f9-1b5f-43cc-9173-07db184d1486
