domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power dissip,power bit,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power dissip,power bit inform,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power dissip,world vlsi,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power dissip,vlsi circuit design,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power dissip,circuit design,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power dissip,object world,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,loss inputoutput map,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,bit inform,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,power bit,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,recov loss,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,power bit inform,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,inputoutput map,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,loss inputoutput,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,comput power,1,0.0,2012.0,,0411bb0d-0b81-4d33-a2d9-b72dd57e05cf
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,comput power consumpt,1,0.0,2012.0,,0411bb0d-0b81-4d33-a2d9-b72dd57e05cf
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),recov loss inputoutput,paper design fault,1,0.0,2018.0,,9e6041a0-01d6-4983-9578-0cd8a241afb3
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,recov loss inputoutput,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,loss inputoutput map,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,bit inform,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,recov loss,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,power bit inform,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,inputoutput map,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,loss inputoutput,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,power dissip,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,world vlsi,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,vlsi circuit design,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,circuit design,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,object world,1,0.0,2012.0,,b71fef24-80b9-47be-9874-14a1b64a0e87
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,bit loss,1,0.0,2012.0,,d92edd39-2f05-4e76-b755-9b9b45f433af
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,loss map,1,0.0,2012.0,,d92edd39-2f05-4e76-b755-9b9b45f433af
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,comput power,1,0.0,2012.0,,0411bb0d-0b81-4d33-a2d9-b72dd57e05cf
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,comput power consumpt,1,0.0,2012.0,,0411bb0d-0b81-4d33-a2d9-b72dd57e05cf
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit,paper design fault,1,0.0,2018.0,,9e6041a0-01d6-4983-9578-0cd8a241afb3
Operating Systems(73.3%) | Emerging Technologies(71.11%) | Symbolic Computation(69.51%),power bit inform,recov loss inputoutput,1,0.0,2011.0,,9423b9da-5f63-44fe-8e75-87a41323534f
