domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),activ video,onlin learner activ,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),activ video,onlin learner,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),activ video,learner activ,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper suitabl,learn environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper suitabl,institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper suitabl,learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper suitabl,learn institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper suitabl,learn institut,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper suitabl,environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper suitabl,institut learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper suitabl,learner activ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ learner,institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ learner,learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ learner,learn institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ learner,learn institut,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ learner,environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ learner,institut learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ learner,learner activ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ learner,paper suitabl,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut learn,learn environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut learn,institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut learn,learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut learn,learn institut,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut learn,environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut learn,institut learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut learn,learner activ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
