domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",algorithm sensor network,sensor network network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",algorithm sensor network,network lifetim,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",algorithm sensor network,network network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",algorithm sensor network,network network lifetim,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",algorithm sensor network,sensor network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",commun wireless sensor,wireless sensor,1,0.0,2017.0,,164986f2-8e6e-4cb5-9faf-9eb9c6146c32
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",commun wireless sensor,network interfer,1,0.0,2017.0,,164986f2-8e6e-4cb5-9faf-9eb9c6146c32
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",commun wireless sensor,wireless sensor network,1,0.0,2017.0,,164986f2-8e6e-4cb5-9faf-9eb9c6146c32
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",commun wireless sensor,sensor network interfer,1,0.0,2017.0,,164986f2-8e6e-4cb5-9faf-9eb9c6146c32
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",commun wireless sensor,sensor network,1,0.0,2017.0,,164986f2-8e6e-4cb5-9faf-9eb9c6146c32
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",lifetim coverag qualiti,coverag sensor network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",lifetim coverag qualiti,sensor network network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",lifetim coverag qualiti,network network lifetim,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",lifetim coverag qualiti,sensor network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",lifetim coverag qualiti,network lifetim coverag,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network network,coverag sensor network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network network,lifetim coverag qualiti,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network network,network network lifetim,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network network,sensor network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network network,network lifetim coverag,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network network,algorithm sensor network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
