domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,symptom mold,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,gangwon provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,gangneung gangwon,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,gangneung gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,mold symptom,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,symptom growth mycelia,1,0.0,2015.0,,fd411658-6999-4acd-9edc-1d083370cf89
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,mold broccoli,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,studi agent,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,korea septemb,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,rot symptom,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,fruit gangneung,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,symptom mold,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,gangneung gangwon,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
