domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display display display,imag display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display display display,display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display display display,imag display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display display,imag display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display display,display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display display,display display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display display,imag display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display display,imag display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display display,display display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,project imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,imag display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,system project imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,display system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,idea method imag,1,0.0,2015.0,,ee598b96-59d2-47b9-acff-a31f42a22802
