domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),smartphon activ recognit,recognit highlevel,1,0.0,2021.0,,90a70399-7ee3-4685-a9ba-d228f817cb4c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),smartphon activ recognit,activ recognit highlevel,1,0.0,2021.0,,90a70399-7ee3-4685-a9ba-d228f817cb4c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),smartphon activ recognit,activ recognit,1,0.0,2021.0,,90a70399-7ee3-4685-a9ba-d228f817cb4c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),abstract action recognit,action recognit,1,0.0,2021.0,,e7454409-6e0e-441c-a16e-e644debc9838
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),care activ recognit,care activ,1,0.0,2021.0,,be06cd98-31dd-46b9-b77e-9fbaebc37b2a
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),care activ recognit,activ recognit,1,0.0,2021.0,,be06cd98-31dd-46b9-b77e-9fbaebc37b2a
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit interact,track recognit,1,0.0,2020.0,,f69b1ccd-770e-413c-9abb-bf52ea9a76fb
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit interact,comput vision,1,0.0,2020.0,,f69b1ccd-770e-413c-9abb-bf52ea9a76fb
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,imag method,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,motion histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,action represent imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,action represent,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,approach gestur,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,approach gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,paper gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,recognit task,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,recognit motion,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,recognit motion histori,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori,gestur recognit motion,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,imag method,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,motion histori,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
