domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type artifact,artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type artifact,type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type artifact,method artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type artifact,type artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type artifact,paper type,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,method artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,type artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,paper type,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,paper type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,record artifact,1,0.0,2014.0,,2666aa47-6845-4663-a884-dc2819129166
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,background record artifact,1,0.0,2014.0,,2666aa47-6845-4663-a884-dc2819129166
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,data artifact,1,0.0,2014.0,,2666aa47-6845-4663-a884-dc2819129166
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,record artifact record,1,0.0,2014.0,,2666aa47-6845-4663-a884-dc2819129166
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,artifact data artifact,1,0.0,2014.0,,2666aa47-6845-4663-a884-dc2819129166
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact record,artifact data,1,0.0,2014.0,,2666aa47-6845-4663-a884-dc2819129166
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,type artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,paper type,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,paper type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,artifact eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,detect epilepsi,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,paper method,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,detect epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,eeg record seizur,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,method artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,paper method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,seizur diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact,eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type,artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type,type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type,method artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type,type artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type,paper type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,method artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,type artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,paper type,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,paper type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,type artifact bci,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,interfac bci,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
