domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,aerosol element system,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,uncertainti climat simul,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,climat simul,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,system uncertainti,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,system uncertainti climat,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,aerosol climat diagnost,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,aerosol element,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,element system,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,uncertainti climat,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,aerosol climat,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),assess aerosol,assess aerosol climat,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,aerosol element system,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,uncertainti climat simul,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,assess aerosol,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,climat simul,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,system uncertainti,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,aerosol climat diagnost,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,aerosol element,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,element system,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,uncertainti climat,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,aerosol climat,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),system uncertainti climat,assess aerosol climat,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
Cryptography and Security(87.64%) | Systems and Control(84.73%) | Symbolic Computation(80.29%),aerosol element system,uncertainti climat simul,1,0.0,2014.0,,89533e1c-f50d-492f-a7aa-d7331d2a4c10
