domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor,distribut data sampl,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor,minor class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor,data sampl class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor,challeng minor class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor,class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor,class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor,sampl class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,minor class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,data sampl class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,challeng minor class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,challeng minor,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,sampl class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,minor class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,classifi minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,problem distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data sampl,minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor class,distribut data sampl,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor class,minor class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor class,data sampl class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor class,challeng minor,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor class,class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor class,class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor class,sampl class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,distribut data sampl,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,minor class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,challeng minor class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,challeng minor,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,sampl class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,minor class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,classifi minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,problem distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data sampl class,minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class concept,distribut data sampl,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class concept,data sampl class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class concept,challeng minor class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class concept,challeng minor,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class concept,class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class concept,class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class concept,sampl class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,distribut data sampl,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,minor class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,data sampl class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,challeng minor class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,challeng minor,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,minor class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,classifi minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,problem distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),sampl class challeng,minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
