domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),convers transmiss line,acdc transmiss system,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),convers transmiss line,stabil analysi acdc,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),convers transmiss line,transmiss line acdc,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),convers transmiss line,line system stabil,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),convers transmiss line,system transmiss line,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),convers transmiss line,transmiss line,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),convers transmiss line,acdc line system,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),convers transmiss line,line acdc line,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),acdc line system,acdc transmiss system,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),acdc line system,convers transmiss line,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),acdc line system,stabil analysi acdc,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),acdc line system,transmiss line acdc,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),acdc line system,line system stabil,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),acdc line system,system transmiss line,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),acdc line system,transmiss line,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),acdc line system,line acdc line,1,0.0,2017.0,,495be4d8-ad97-47b3-8c16-d5f987f78ac3
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,transmiss system behavior,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,capabl acdc system,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,capabl transmiss line,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,power transmiss system,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,model paper power,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,load capabl,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,acdc power transmiss,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,transmiss system,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,power transmiss,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,transmiss system load,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,system load capabl,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,transmiss line,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),load capabl acdc,load capabl transmiss,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,transmiss system behavior,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,capabl acdc system,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,power transmiss system,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,model paper power,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,load capabl,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,acdc power transmiss,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,transmiss system,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,power transmiss,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,transmiss system load,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,system load capabl,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,load capabl acdc,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,transmiss line,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,load capabl transmiss,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),capabl transmiss line,system load,1,0.0,2018.0,,b75e6e50-2f1c-4126-8791-6e75327cff53
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),power transmiss system,transmiss system behavior,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),power transmiss system,capabl acdc system,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),power transmiss system,capabl transmiss line,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),power transmiss system,model paper power,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
Systems and Control(90.41%) | Information Theory(71.9%) | Neural and Evolutionary Computing(65.91%),power transmiss system,load capabl,1,0.0,2014.0,,0bcfac34-36d8-4dbf-8d01-adeed704dc0b
