domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,characterist transvers,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,dispers characterist,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,wave structur,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,profil sw,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,profil sw seri,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,mode wave structur,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,dispers relat,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,mode wave,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),sw seri,dispers characterist transvers,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,characterist transvers,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,dispers characterist,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,wave structur,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,sw seri,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,profil sw,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,profil sw seri,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,mode wave structur,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,dispers relat,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),dispers characterist transvers,mode wave,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,dispers characterist,1,0.0,2014.0,,57b1095e-e47c-450d-93e6-beb96583d7a4
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,beam wave,1,0.0,2014.0,,57b1095e-e47c-450d-93e6-beb96583d7a4
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,beam wave structur,1,0.0,2014.0,,57b1095e-e47c-450d-93e6-beb96583d7a4
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,properti beam,1,0.0,2014.0,,57b1095e-e47c-450d-93e6-beb96583d7a4
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,properti beam wave,1,0.0,2014.0,,57b1095e-e47c-450d-93e6-beb96583d7a4
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,wave structur sw,1,0.0,2015.0,,2eef6023-54c3-4593-bde9-07af86842efa
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,sw backward wave,1,0.0,2015.0,,2eef6023-54c3-4593-bde9-07af86842efa
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,structur sw,1,0.0,2015.0,,2eef6023-54c3-4593-bde9-07af86842efa
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,wave oscil,1,0.0,2015.0,,2eef6023-54c3-4593-bde9-07af86842efa
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,backward wave,1,0.0,2015.0,,2eef6023-54c3-4593-bde9-07af86842efa
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,backward wave oscil,1,0.0,2015.0,,2eef6023-54c3-4593-bde9-07af86842efa
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,shape wave,1,0.0,2015.0,,2eef6023-54c3-4593-bde9-07af86842efa
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,characterist transvers,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,sw seri,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,profil sw,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,profil sw seri,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,mode wave structur,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,dispers relat,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,mode wave,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,dispers characterist transvers,1,0.0,2015.0,,a2a914fa-5f59-4017-ba28-caaf835c7632
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,relat wave,1,0.0,2016.0,,f48a0d17-ecd9-41d5-8106-f101ea9106b5
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,relat wave structur,1,0.0,2016.0,,f48a0d17-ecd9-41d5-8106-f101ea9106b5
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,dispers relat wave,1,0.0,2016.0,,f48a0d17-ecd9-41d5-8106-f101ea9106b5
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,wave oscil bwo,1,0.0,2016.0,,c980dadf-4ba4-4985-bebd-5014da2a3287
Discrete Mathematics(79.28%) | Multimedia(73.33%) | Computation and Language(71.1%),wave structur,electron beam,1,0.0,2016.0,,c980dadf-4ba4-4985-bebd-5014da2a3287
