domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",filter object,particl filter,1,0.0,2011.0,,435aa544-a3e2-4588-9051-ace699345b96
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",filter object,particl filter object,1,0.0,2011.0,,435aa544-a3e2-4588-9051-ace699345b96
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter object,particl filter,1,0.0,2011.0,,435aa544-a3e2-4588-9051-ace699345b96
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter object,filter object,1,0.0,2011.0,,435aa544-a3e2-4588-9051-ace699345b96
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,particl filter object,1,0.0,2011.0,,435aa544-a3e2-4588-9051-ace699345b96
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,filter object,1,0.0,2011.0,,435aa544-a3e2-4588-9051-ace699345b96
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,particl filter bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,bodi research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,pose appear,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,bodi research,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,research bodi pose,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,histogram particl filter,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,color histogram particl,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,research method,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter,histogram particl,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",pose appear,particl filter bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",pose appear,bodi research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",pose appear,research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",pose appear,bodi research,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",pose appear,research bodi pose,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",pose appear,particl filter,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research,particl filter bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research,bodi research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research,pose appear,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research,research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research,research bodi pose,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research,particl filter,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi,particl filter bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi,bodi research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi,pose appear,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi,bodi research,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi,research bodi pose,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi,particl filter,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi pose,particl filter bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi pose,bodi research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
