domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil nemo,mobil nemo,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil nemo,mobil manag scheme,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil nemo,manag scheme,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil nemo,network mobil,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil nemo,access technolog,1,0.0,2017.0,,a4e38cb2-9481-4d7c-ad4e-9a91a1b1ac63
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil nemo,access network,1,0.0,2017.0,,a4e38cb2-9481-4d7c-ad4e-9a91a1b1ac63
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,mobil nemo,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,mobil manag scheme,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,manag scheme,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,network mobil nemo,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,mobil support,1,0.0,2016.0,,1f0df120-3e01-406f-8dc9-fcc5b67cc46d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,access network,1,0.0,2016.0,,1f0df120-3e01-406f-8dc9-fcc5b67cc46d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,network mobil support,1,0.0,2016.0,,1f0df120-3e01-406f-8dc9-fcc5b67cc46d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,internet connect network,1,0.0,2016.0,,c4237ea9-6d86-473d-9f30-4fec6a3e1096
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,mobil network,1,0.0,2016.0,,c4237ea9-6d86-473d-9f30-4fec6a3e1096
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,standard network,1,0.0,2016.0,,2f912da4-c95e-44b7-8d2f-6794c704af89
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,access technolog,1,0.0,2017.0,,a4e38cb2-9481-4d7c-ad4e-9a91a1b1ac63
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),network mobil,handoff manag,1,0.0,2020.0,,1d6f265c-f61b-4db5-9996-308c244e7eb7
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),manag scheme,mobil nemo,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),manag scheme,mobil manag scheme,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),manag scheme,network mobil nemo,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),manag scheme,network mobil,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),mobil manag scheme,mobil nemo,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),mobil manag scheme,manag scheme,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),mobil manag scheme,network mobil nemo,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
Networking and Internet Architecture(88.18%) | Cryptography and Security(82.09%) | Neural and Evolutionary Computing(77.33%),mobil manag scheme,network mobil,1,0.0,2016.0,,8713da0b-f774-4d9f-a5b3-fad536f1833d
