domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),techniqu featur,face recognit eye,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),techniqu featur,paper face recognit,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),techniqu featur,paper face,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),techniqu featur,face recognit,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),techniqu featur,recognit eye nostril,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),techniqu featur,featur extract,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),featur extract,face recognit eye,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),featur extract,paper face recognit,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),featur extract,paper face,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),featur extract,techniqu featur,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),featur extract,face recognit,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
