domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,method citi south,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,efficaci categor framework,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,paper efficaci,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,method citi,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,paper efficaci categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,framework learn categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,learn categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,learn categor method,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,categor framework,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,citi south,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,categor method,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,efficaci categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),framework learn,categor framework learn,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,method citi south,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,efficaci categor framework,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,paper efficaci,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,method citi,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,paper efficaci categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,framework learn categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,learn categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,learn categor method,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,framework learn,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,categor framework,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,citi south,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,efficaci categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),categor method,categor framework learn,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,method citi south,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,paper efficaci,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,method citi,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,paper efficaci categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,framework learn categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,learn categor,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,learn categor method,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,framework learn,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,categor framework,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
Computer Science and Game Theory(85.4%) | Cryptography and Security(76.91%) | Systems and Control(64.56%),efficaci categor framework,citi south,1,0.0,2021.0,,e8d2d026-aba5-44d5-a32f-9c7da8502402
