domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,terrain effect consider,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,season year power,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,effect consider prospect,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,site depart bangladesh,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,bangladesh site season,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,paper analysi,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,speed data site,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,paper analysi wind,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,depart bangladesh site,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,year height terrain,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,data site depart,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,season year height,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),height terrain effect,site season year,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,season year power,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,height terrain effect,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,effect consider prospect,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,site depart bangladesh,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,bangladesh site season,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,paper analysi,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,speed data site,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,paper analysi wind,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,depart bangladesh site,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,year height terrain,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,data site depart,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
Multimedia(74.45%) | Cryptography and Security(71.03%) | General Literature(63.76%),terrain effect consider,season year height,1,0.0,2010.0,,010b9730-23f6-497d-8e8d-6282e069a3e2
