domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),transmitt wireless,transmitt wireless transmiss,1,0.0,2016.0,,22881ebe-a61f-4902-ad86-78dc0a21478f
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),transmitt wireless,wireless transmiss,1,0.0,2016.0,,22881ebe-a61f-4902-ad86-78dc0a21478f
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),transmitt wireless,wireless transmiss relationship,1,0.0,2016.0,,22881ebe-a61f-4902-ad86-78dc0a21478f
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),power alloc,divis ofdm commun,1,0.0,2011.0,,7d42f569-fc4c-4f59-a9ad-b6c33612b5ae
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),power alloc,frequenc divis ofdm,1,0.0,2011.0,,7d42f569-fc4c-4f59-a9ad-b6c33612b5ae
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),power alloc,system modul detect,1,0.0,2011.0,,7d42f569-fc4c-4f59-a9ad-b6c33612b5ae
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,divis ofdm commun,1,0.0,2011.0,,7d42f569-fc4c-4f59-a9ad-b6c33612b5ae
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,system modul detect,1,0.0,2011.0,,7d42f569-fc4c-4f59-a9ad-b6c33612b5ae
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,power alloc,1,0.0,2011.0,,7d42f569-fc4c-4f59-a9ad-b6c33612b5ae
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,data transmiss,1,0.0,2013.0,,fa2b12ae-6e38-4b69-9ffd-98f78b3f9883
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,transmiss frequenc divis,1,0.0,2013.0,,fa2b12ae-6e38-4b69-9ffd-98f78b3f9883
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,divis ofdm,1,0.0,2013.0,,fa2b12ae-6e38-4b69-9ffd-98f78b3f9883
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,paper perform,1,0.0,2013.0,,fa2b12ae-6e38-4b69-9ffd-98f78b3f9883
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,paper perform wireless,1,0.0,2013.0,,fa2b12ae-6e38-4b69-9ffd-98f78b3f9883
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,wireless data,1,0.0,2013.0,,fa2b12ae-6e38-4b69-9ffd-98f78b3f9883
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,frequenc divis,1,0.0,2013.0,,fa2b12ae-6e38-4b69-9ffd-98f78b3f9883
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,intens modul detect,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,wireless transmiss,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,ofdm intens modul,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,wireless transmiss frequenc,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,perform wireless,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,transmiss frequenc,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,intens modul,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,modul detect,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,perform wireless transmiss,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,divis ofdm intens,1,0.0,2014.0,,e3a3c18f-1e7c-4cb8-8025-75e31ba8ef68
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,paper transmiss,1,0.0,2014.0,,29f0a186-b35d-4d85-814c-695c4895be78
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,wavelet packet,1,0.0,2017.0,,dc13d84b-212f-43c3-9c22-51252752ef27
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,modul wpm altern,1,0.0,2017.0,,dc13d84b-212f-43c3-9c22-51252752ef27
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,wavelet packet modul,1,0.0,2017.0,,dc13d84b-212f-43c3-9c22-51252752ef27
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,modul wpm,1,0.0,2017.0,,dc13d84b-212f-43c3-9c22-51252752ef27
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,altern frequenc divis,1,0.0,2017.0,,dc13d84b-212f-43c3-9c22-51252752ef27
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,wpm frequenc,1,0.0,2017.0,,16d35a23-ccde-41ec-80c9-e60a0671d8b1
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,modul wpm frequenc,1,0.0,2017.0,,16d35a23-ccde-41ec-80c9-e60a0671d8b1
Cryptography and Security(74.04%) | Networking and Internet Architecture(71.69%) | Information Theory(68.99%),frequenc divis ofdm,ofdm commun,1,0.0,2017.0,,16d35a23-ccde-41ec-80c9-e60a0671d8b1
