domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,capacitor voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,voltag dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,step gain,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,paper capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,capacitor step,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,zvzc dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,zero voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,paper zero,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,voltag zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,dcdc convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
