domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber lattic,porouscor crystal fiber,1,0.0,2019.0,,dd4b09c4-86dc-47a1-82e8-e59cb482a520
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber lattic,crystal fiber,1,0.0,2019.0,,dd4b09c4-86dc-47a1-82e8-e59cb482a520
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber lattic,porouscor crystal,1,0.0,2019.0,,dd4b09c4-86dc-47a1-82e8-e59cb482a520
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),design birefring crystal,rang wavelength,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),design birefring crystal,birefring crystal,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),design birefring crystal,birefring crystal fiber,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),design birefring crystal,design birefring,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),design birefring crystal,crystal fiber,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper design crystal,design crystal,1,0.0,2014.0,,b16d62b8-2e64-4bd4-8e8a-d947574bf3b6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper design crystal,paper design,1,0.0,2014.0,,b16d62b8-2e64-4bd4-8e8a-d947574bf3b6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper design crystal,design crystal fiber,1,0.0,2014.0,,b16d62b8-2e64-4bd4-8e8a-d947574bf3b6
