domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system secur data,secur data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system secur data,commun data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system secur data,system secur,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system secur,secur data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system secur,commun data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system secur,system secur data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system secur,wireless network,1,0.0,2021.0,,c7af6755-8ab8-4ca1-a886-04bd36be04e2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",secur data,commun data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",secur data,system secur,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",secur data,system secur data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",commun data,secur data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",commun data,system secur,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",commun data,system secur data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access access,access noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access access,paper perform noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access access,access access noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access technolog,radio access,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access technolog,radio access technolog,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access technolog,access noma,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access technolog,radio access,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access technolog,access noma,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access technolog,access technolog,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",techniqu perform,radio access techniqu,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",techniqu perform,access noma,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",techniqu perform,access techniqu perform,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,radio access techniqu,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,techniqu perform,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,access techniqu perform,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,radio access,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,radio access technolog,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,access technolog,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,paper perform noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,access access noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,access access,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,noma system,1,0.0,2018.0,,ed1e88b3-b6f3-48c6-93a1-664cceb24c3a
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,access noma system,1,0.0,2018.0,,ed1e88b3-b6f3-48c6-93a1-664cceb24c3a
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,wireless network,1,0.0,2019.0,,02ba4cb0-0a67-4a70-b886-7ae8d21237b2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma,transmiss access,1,0.0,2021.0,,25688b72-4534-47d4-bc95-5d49b71eaed1
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,access noma,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,techniqu perform,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,access techniqu perform,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,wireless network,1,0.0,2019.0,,02ba4cb0-0a67-4a70-b886-7ae8d21237b2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,system radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
