domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,food habit reduct,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,reduct activ,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,diabet chronic diseas,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,today peopl,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,chronic diseas peopl,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,peopl diseas food,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,habit reduct,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,diseas food habit,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,habit reduct activ,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,diseas food,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
"Cryptography and Security(95.24%) | Computers and Society(66.54%) | Distributed, Parallel, and Cluster Computing(66.01%)",today peopl diseas,diseas peopl age,1,0.0,2018.0,,03ae8d63-8ca1-4c8e-982e-ed75adbe338a
