domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,individu cord,1,0.0,2012.0,,2ad013c5-dfbd-463c-ad3a-ee7c8c37aee8
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,muscl properti,1,0.0,2012.0,,2ad013c5-dfbd-463c-ad3a-ee7c8c37aee8
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,cord injuri,1,0.0,2012.0,,2ad013c5-dfbd-463c-ad3a-ee7c8c37aee8
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,movement restor,1,0.0,2016.0,,9b9fce50-2c61-4569-8a55-b2b0693061c6
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,movement function,1,0.0,2017.0,,4de19b0b-330a-4d13-b51a-9d9c56ef222e
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,stimul fe restor,1,0.0,2018.0,,1ab805d3-aa9d-4352-b298-cf3d691ae64c
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,fe restor,1,0.0,2018.0,,1ab805d3-aa9d-4352-b298-cf3d691ae64c
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,stimul fe movement,1,0.0,2018.0,,830fd0ac-3abc-4681-82e6-6e4c115727a7
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,sittostand st,1,0.0,2019.0,,739f7b54-cd40-4c56-bda9-09285977b8a6
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,trajectori plan,1,0.0,2019.0,,739f7b54-cd40-4c56-bda9-09285977b8a6
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,stimul fe sittostand,1,0.0,2019.0,,fcea9c0b-e294-4c38-b66f-06f5394f3f16
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,fe sittostand st,1,0.0,2019.0,,fcea9c0b-e294-4c38-b66f-06f5394f3f16
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,fe sittostand,1,0.0,2019.0,,fcea9c0b-e294-4c38-b66f-06f5394f3f16
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,regul stimul fe,1,0.0,2019.0,,fcea9c0b-e294-4c38-b66f-06f5394f3f16
