domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network play,rout protocol,1,0.0,2015.0,,5da9aeeb-f393-4aa3-bb84-7847f828eb06
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,protocol wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,rout protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,rout protocol,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,wireless network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,network role,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,wireless network role,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,role network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,network role network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,network resourc,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,perform wireless,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
