domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),forc microscop,tube scanner pt,1,0.0,2012.0,,2305934a-a2f7-4e0f-aa81-9af9b569fc27
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),forc microscop,tube scanner,1,0.0,2012.0,,2305934a-a2f7-4e0f-aa81-9af9b569fc27
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,tube scanner pt,1,0.0,2012.0,,91ea42b8-ce35-4fef-b711-c5e27bd6938e
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,control tube scanner,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,veloc feedback control,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,paper design control,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,architectur control control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,design implement control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,control control veloc,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,paper design implement,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,paper design,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
