domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic chang,composit framework drone,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic chang,drone deliveri servic,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic chang,drone deliveri,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic chang,deliveri servic,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic chang,framework drone deliveri,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic chang,composit framework,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic chang,drone servic recharg,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa request provid,approach set,1,0.0,2017.0,,095b8e25-29a0-4f3f-a05a-fcd3e46b3780
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa request provid,request provid,1,0.0,2017.0,,095b8e25-29a0-4f3f-a05a-fcd3e46b3780
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa request provid,measur approach,1,0.0,2017.0,,095b8e25-29a0-4f3f-a05a-fcd3e46b3780
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa request provid,provid prefer,1,0.0,2017.0,,095b8e25-29a0-4f3f-a05a-fcd3e46b3780
