domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",servic research,research problem,1,0.0,2021.0,,078d1a49-9a4b-42f1-a68d-ebb38076bc09
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",problem rfid network,problem rfid,1,0.0,2016.0,,bce9c298-ed2b-42a1-bcf1-624029c6825a
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",problem rfid network,rfid network,1,0.0,2016.0,,bce9c298-ed2b-42a1-bcf1-624029c6825a
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",problem rfid network,reader elimin,1,0.0,2016.0,,bce9c298-ed2b-42a1-bcf1-624029c6825a
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",problem rfid network,optim research problem,1,0.0,2016.0,,bce9c298-ed2b-42a1-bcf1-624029c6825a
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",problem rfid network,research problem rfid,1,0.0,2016.0,,bce9c298-ed2b-42a1-bcf1-624029c6825a
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",problem rfid network,optim research,1,0.0,2016.0,,bce9c298-ed2b-42a1-bcf1-624029c6825a
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",problem rfid network,elimin optim,1,0.0,2016.0,,bce9c298-ed2b-42a1-bcf1-624029c6825a
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",problem rfid network,research problem,1,0.0,2016.0,,bce9c298-ed2b-42a1-bcf1-624029c6825a
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,problem wireless,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,algorithm optim,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
