domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),techniqu perform,perform diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),techniqu perform,diffus system commun,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),techniqu perform,diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),techniqu perform,spotdiffus commun system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),techniqu perform,owc system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),spotdiffus commun system,perform diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),spotdiffus commun system,diffus system commun,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),spotdiffus commun system,diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),spotdiffus commun system,techniqu perform,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),spotdiffus commun system,owc system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),perform diffus system,diffus system commun,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),perform diffus system,diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),perform diffus system,spotdiffus commun system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),perform diffus system,techniqu perform,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),perform diffus system,owc system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system,perform diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system,diffus system commun,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system,spotdiffus commun system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system,techniqu perform,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system,owc system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),owc system,perform diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),owc system,diffus system commun,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),owc system,diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),owc system,spotdiffus commun system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),owc system,techniqu perform,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system commun,perform diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system commun,diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system commun,spotdiffus commun system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system commun,techniqu perform,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),diffus system commun,owc system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),area water,qualiti water haor,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),area water,water varieti,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),area water,haor area water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),area water,qualiti water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),qualiti water,area water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),qualiti water,qualiti water haor,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),qualiti water,water varieti,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),qualiti water,haor area water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),water varieti,area water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),water varieti,qualiti water haor,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),water varieti,haor area water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),water varieti,qualiti water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),qualiti water haor,area water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),qualiti water haor,water varieti,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),qualiti water haor,haor area water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),qualiti water haor,qualiti water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),haor area water,area water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),haor area water,qualiti water haor,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),haor area water,water varieti,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Cryptography and Security(58.01%) | Systems and Control(38.59%) | Hardware Architecture(37.46%),haor area water,qualiti water,1,0.0,2020.0,,77602359-3a86-4fcc-9415-e08fe280b373
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),concentr water,metal concentr water,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),concentr water,concentr water fish,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),concentr water,metal concentr,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),concentr water,water fish,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),concentr water fish,metal concentr,1,0.0,2020.0,,9525237e-4255-4920-a31c-f1f93f969542
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),concentr water fish,metal concentr water,1,0.0,2020.0,,9525237e-4255-4920-a31c-f1f93f969542
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),concentr water fish,concentr water,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),concentr water fish,water fish,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),metal concentr,metal concentr water,1,0.0,2020.0,,9525237e-4255-4920-a31c-f1f93f969542
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),metal concentr,concentr water fish,1,0.0,2020.0,,9525237e-4255-4920-a31c-f1f93f969542
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),metal concentr,concentr water,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
