domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,infer case,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,model cutset,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,cutset network,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,network time infer,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,sumproduct network,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,time infer,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,network sumproduct network,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,network time,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,time infer case,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,model cutset network,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,cutset network sumproduct,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network circuit latent,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject research,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
