domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),energi electr suppli,transit energi electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),energi electr suppli,electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),energi electr suppli,system electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),energi electr suppli,system electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),energi electr suppli,transit energi,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),energi electr suppli,world integr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi electr,electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi electr,system electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi electr,system electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi electr,transit energi,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi electr,energi electr suppli,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi electr,world integr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network power,power consum,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network power,electr network,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network power,network power,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network power,gener electr,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power consum,electr network,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power consum,electr network power,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power consum,network power,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power consum,gener electr,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),network power,power consum,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),network power,electr network,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),network power,electr network power,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),network power,gener electr,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,power consum,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,electr network power,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,network power,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
